content,category,validated_by,score,thumbsUpCount,country
I absolutely love Amazon,user-experience,Adam,5,0,us
"They used to be realistic about their delivery time, not anymore. For example, I needed a new power supply for my computer so I bought a ""get it by tomorrow"" (less options but fast enough). The delivery was late, got it in two days. Unfortunately it was defective, so I returned it and bought a new ""get it by tomorrow"" one yesterday and just got a message, AGAIN, saying that it won't be delivered today, but tomorrow. Not as reliable as it used to be...",shipping,Solomon,1,0,us
This app never remembers my orders. It says I haven't ordered anything in 3 months when that isn't true.,user-experience,Lailat,3,0,us
"The least intuitive UI experience in the history of front ends. Good luck going straight to where you want if you need to view your payment methods, messages, recent cs chats, etc. Numerous vague menus leading to even more vague submenues. Also, stupid in-search ads autoplay making the app crash on my phone. I don't need demos of other products when I'm literally in the middle of searching for something specific that I'm in need of.. much less when it has a 99% chance of crashing the app!",user-experience,Ugochukz,1,79,us
"I would give 5 stars but sometimes, I don't receive my packages on the scheduled day. I used to, but the past 2 yrs the accuracy of shipment has changed. Other than that, amazon is a great option to buy things from. They have good customer service most the time and allow you to return or exchange stuff pretty easy.",shipping,Solomon,4,0,us
"I am very satisfied with my experiences with Amazon Shopping. Even during the busy Christmas season, I received all my purchases on time and in great condition. I am a continuing returning customer. Thank you, Amazon, for years of great service, wide variety, and quality products!",user-experience,Solomon,5,6,us
"Whole Foods ordering now broken. Clicking on previously-ordered item no longer brings up any description of the selected item...but CAN retrieve full descriptions of SUBSTITUTES! In addition, we can no longer opt to NOT see selected items we've ordered before. So now the ""buy again"" list is becoming full of items ordered as one-time substitutes, or items no longer offered for sale! The longer we remain customers and the more we purchase, the harder it becomes to place orders.",user-experience,Ugochukz,1,2,us
Having issues with this app connecting with shop pay. Maybe it's them but it connects fine with all other apps just not this one,user-experience,Lailat,3,0,us
"Highly useful and a great purchasing experience, but with one glaring dark pattern: there's only one notification category and no way to disable the ""deal"" notifications without also disabling delivery notifications. It's an obvious dark pattern and the frequency of those notifications has only increased over time. Would be five stars, but it's annoying enough to me to lop off a couple.",user-experience,Adam,3,11,uk
Top.,user-experience,Adam,5,0,us
"hello Amazon, I don't have Amazon account and not downloaded yung app but this month alone I always receive OTP from my CP number. Does it mean that they create an Amazon account using May CP number? What should I do ? I'm afraid that my CP number got use to create an account and use it in bad purchases. for today alone I received this message. I change the number to *. Below is the format of text I received. ****** is your Amazon OTP. Don't share it with anyone.",privacy,Lailat,4,0,us
Add dark mode! Your app is too bright for those of us that shop at night,user-experience,Lailat,3,0,us
"I like Amazon , but before Amazon . I used to be a faithful Walmart shopper but the employees that work at Palm Coast store don't speak English and when they see customers need help they the other way. This staff here is unprofessional, not help ful The see you and rurn",customer-service,Solomon,5,0,us
"It installs and opens fine on Pixel Tablet but isn't in any way optimised for use on a wider screen – as an example the ""Add to Basket"" and ""Buy Now"" buttons span the entire width of my screen when in landscape, which is a bit silly. Decided to just stick with the desktop website in Chrome.",user-experience,Solomon,3,5,us
"12/03/2024 - Can't even open the app since the last update. It crashes before it even gets past the loading screen. Website works. App does not. 06/11/2023 - The website is brilliant and efficient. Their app leaves a lot to be desired. Can barely get my own info to load on the app, nevermind how long you have to wait for a search to bring up results. The website itself and everything else is top knotch. But app is ridiculously bad for trying to find/purchase anything.",user-experience,Adam,1,129,uk
"I'm not so silly as to believe that I am the only one who loves Amazon shopping! I do, I do, I do! 🤚🏿 Just in case you missed that? I love Amazon! So easy and convenient! Two great things! Don't shop past your budget, but do shop!",user-experience,Solomon,5,1,us
"Every time I search for specific thing, this app shows it 1 time, and like 5 other is not even what I search for, why? I'm always want to find something, but In the end I'm trying to see that item through list. And no money filter, I cannot chose specific amount.",user-experience,Adam,2,1,uk
"So many unnecessary emails, even if you unselected all, you will still be informed - by email - when a product has been bought (I bought it), shipped (I specified the day, so I already know), is out for delivery (I don't care, the day is specified) and has arrived The arrival info is useful, but basically all of this should be inside the app - by bother with an app when then you send 5 emails for each order??",shipping,Ugochukz,2,0,us
"Sometimes, it just closes on its own for no reason. Things move around on the app with updates. I pay for Prime. It's not worth it. 2 day shipping turns out to be a week every time. Now ads on prime video. When I signed up for Prime years ago, it said no ads, now there's ads. Very descriptive business practices.",user-experience,Ugochukz,1,13,us
"If you have to switch apps for a second, when you go back to Amazon, the app goes back to main page and you have to start over you search results. Very annoying, but I'm sure Amazon don't care. They still make money and customer comfort isn't high in their priorities.",user-experience,Ugochukz,2,1,us
"Honestly, I love the AI feature that summarizes customer reviews. It's been super helpful with my purchases, but the app feels so unnecessarily cluttered, and remains incredibly slow. The list feature is my biggest pet peeve with it taking portal after portal to find what I need, and having to scroll through all my lists every time I have to access one.",user-experience,Ugochukz,3,12,us
This is usually my go to app for shopping but lately it keeps crashing I give five star again one they fix this. Using Samsung S21 Ultra running latest version of Android.,user-experience,Adam,4,1,uk
Better now,user-experience,Lailat,4,0,us
"Would you please stop changing your apps checkout page! I've had issues in the past where I've been presented with a fake checkout page - IN YOUR APP. It took a few tries for me to finally get past it without actually submitting through it, but now your apps checkout page has changed so I can't be sure if it's safe or another fake one! Could you please stop confusing your customers like this, or do you not care anymore if your customers trust you anymore?",security,Ugochukz,2,124,us
"Products are great, service on the other hand. If you actually get an agent trying to get them to understand that every other order made in the past two years has been late, damaged or never shows up at all is like pulling teeth. Every year amazon increase their subscription rate and their customers service goes further down the tube. My entire 250 house neighborhood has had problems with the facility literally 4 miles from us we have all complained several times and nothing changes.",customer-service,Adam,1,4,uk
"awesome app, fast and easy, the only issues I ever have had are trying to purchase a mp3 song on here and Amazon music, neither worked. oh and people adding Amazon lockers.",user-experience,Solomon,5,0,us
"I love amazon. It's my go to for everything. From clothing to art supplies to electronics to food. It really has something for everyone . I only wish that the preference for how items searched for are listed could be personalized. I hate having to click the filter and select priced low to high EVERY time I search. Another complaint is my phone only lets me view, maybe 8 items a page. It is very time consuming.",user-experience,Solomon,4,261,us
"How long did it take Google to allow Amazon app? I remember I had to slide load the app through apk due to Google being evil. Anyways, I'm happy now we all can experience the #1 shopping app on earth. It have its bugs here and there that I notice but whatever. It's fluid and I never had any issues. Thanks Google for allowing Amazon app to be on Play Store 😁",user-experience,Solomon,5,33,us
"My package was delayed a day for the second time in a month, and when I called to inquire about it, the representative I spoke to LIED TO ME ABOUT IT. DO NOT USE AMAZON. THEY LIE TO CUSTOMERS.",customer-service,Solomon,1,0,us
Dinosaur shopping system. Everytime I make a purchase and think it's shipped I wake up to a notification about them trying to charge my card the day after I left your virtual retail counter. Learn to charge the card right at the time of purchase. It's 2024 get with the times. Thanks.,shipping,Lailat,1,0,us
Doesn't work half the time. Nothing loads and errors out.,user-experience,Lailat,2,1,us
